name,state,cz,tier,cuny,count,par_median,par_q1,par_q2,par_q3,par_q4,par_q5,par_top1,kid_median,kid_q1,kid_q2,kid_q3,kid_q4,kid_q5,kid_top1,kidq1_if_parq1,kidq2_if_parq1,kidq3_if_parq1,kidq4_if_parq1,kidq5_if_parq1,kidtop1_if_parq1
"ASA Institute Of Business & Computer Technology","NY","New York","Two-year for-profit",0,275,29000,44.35752,32.67902,14.37108,5.970677,2.621719,.0415863,19700,17.12801,29.72165,25.16324,21.00205,6.985054,.1981456,17.91532,33.95769,24.37785,19.23266,4.516471,.004263
"Abilene Christian University","TX","Abilene","Selective private",0,838.6666667,101000,5.244135,10.1032,16.39357,25.82401,42.43509,2.30491,40100,14.00653,13.29476,17.32774,24.64441,30.72657,2.836768,9.414482,10.86272,25.59982,26.7327,27.39028,3.807959
"Abraham Baldwin Agricultural College","GA","Valdosta","Nonselective four-year public",0,679.3333333,66000,15.45552,18.71586,22.5497,23.67626,19.60265,.2520282,32500,12.19498,17.90269,25.53288,27.39572,16.97372,.6384978,17.64907,23.9796,30.10153,18.65683,9.612967,.6440228
"Academy Of Art University","CA","San Francisco","Four-year for-profit",0,495.6666667,92300,9.352424,12.29171,17.53495,21.15251,39.6684,3.56812,27400,20.58663,19.37821,18.08679,15.81462,26.13376,1.403081,26.70301,18.54258,20.62937,16.63503,17.49,1.45513
"Adams State University","CO","Alamosa","Selective public",0,393.3333333,67200,12.92244,18.55039,24.84288,26.08763,17.59666,.3146715,34100,12.12477,15.90779,24.38619,27.22648,20.35478,.5832592,16.9993,20.16696,21.88124,26.36958,14.58291,.0240013
"Adelphi University","NY","New York","Selective private",0,509,96300,8.704803,12.85386,15.64339,22.98646,39.8115,2.386326,50700,10.05154,11.30076,14.76446,19.31545,44.5678,1.489266,9.847518,12.51636,19.38495,20.81772,37.43344,3.00128
"Adirondack Community College - SUNY Office Of Community Colleges","NY","Albany","Two-year (public and private not-for-profit)",0,663,69900,11.42882,17.76071,25.52189,29.44492,15.84366,.1922987,30300,12.0906,20.07169,25.11959,25.80096,16.91717,.3172263,14.05527,25.46151,27.40812,24.37697,8.698126,.0247923
"Adrian College","MI","Jackson","Selective private",0,240.3333333,88500,6.076029,11.53559,20.08133,28.13269,34.17435,1.150438,40300,8.579204,12.80818,21.04974,30.36666,27.1962,.3567733,15.08756,16.43906,21.26947,31.46234,15.74158,.0696305
"Advanced Institute Of Hair Design","WI","Milwaukee","Two-year for-profit",0,58,78100,2.590209,11.11655,25.45027,40.80001,20.04296,.1437937,24300,12.27088,27.94218,34.55011,18.43133,6.805502,.1089648,8.254914,0,1.994345,11.86945,77.88129,.3760445
"Advanced Technology Institute","VA","Virginia Beach","Two-year for-profit",0,127.6666667,57200,15.95313,21.89207,26.27336,22.35292,13.52852,.2457908,33900,12.38795,15.23136,22.9782,30.94797,18.45452,.3851297,11.51012,21.52159,18.05242,29.20897,19.70689,.0407234
"Adventist University Of Health Sciences","FL","Orlando","Nonselective four-year private not-for-profit",0,120.5,62900,12.76343,21.57055,22.54377,27.37347,15.74878,.058266,39200,10.43777,10.39749,19.86399,25.45783,33.84292,.0768332,19.20666,8.526698,23.12325,19.48174,29.66163,.0598468
"Agnes Scott College","GA","Atlanta","Highly selective private",0,164,97200,7.200305,12.99675,15.52684,22.6091,41.66701,1.238161,38900,13.1755,15.66756,19.31104,23.4351,28.41079,1.500111,28.02235,7.410422,27.14801,16.94209,20.47713,.1170535
"Aiken Technical College","SC","Aiken","Two-year (public and private not-for-profit)",0,553.6666667,64100,20.11534,19.17811,18.35049,26.16418,16.19189,.1542641,25200,16.25512,23.32959,27.74163,19.92469,12.74898,.0342259,18.3458,25.83216,30.53408,16.78446,8.503487,0
"Alabama Agricultural & Mechanical University","AL","Huntsville","Selective public",0,943.6666667,44500,24.35612,26.43245,19.60877,17.62877,11.9739,.0179344,32900,11.46828,17.58654,24.50374,25.80637,20.63507,.2565126,12.39927,22.25993,23.42809,24.58931,17.32341,.2993557
"Alabama Southern Community College","AL","Atmore","Two-year (public and private not-for-profit)",0,248,44300,29.38994,22.91854,16.35298,21.24594,10.09258,.3593802,24300,17.09816,24.72856,26.00352,16.91586,15.2539,.2543508,13.81745,34.50169,27.15072,14.05783,10.47232,0
"Alamance Community College","NC","Greensboro","Two-year (public and private not-for-profit)",0,518.3333333,61200,13.40974,21.63931,24.08652,25.75382,15.11062,.2242142,25100,15.79833,22.47848,30.4968,22.78537,8.441024,.1604563,17.41117,34.74611,23.82066,20.68553,3.33652,0
"Alamo Community College District","TX","San Antonio","Two-year (public and private not-for-profit)",0,6901.333333,50600,21.75164,24.14913,21.90663,19.5349,12.6577,.2772422,29800,14.28296,18.5213,26.03678,25.39895,15.76001,.2861578,15.29654,21.44199,29.15607,22.88397,11.22143,.0456788
"Albany College Of Pharmacy And Health Sciences","NY","Albany","Nonselective four-year private not-for-profit",0,129,95800,3.940356,10.18793,18.64876,27.66784,39.55511,.1978402,115800,6.103642,2.419935,5.107361,8.552681,77.81638,10.47512,4.474135,0,6.587806,3.729166,85.20889,.2540396
"Albany State University","GA","Albany","Selective public",0,521,43800,23.30108,28.16368,21.58,17.59358,9.36166,.0947231,31900,9.391405,18.36999,28.97015,28.86176,14.40669,.2489291,9.824013,18.68702,30.51917,29.89952,11.07028,0
"Albany Technical College","GA","Albany","Two-year (public and private not-for-profit)",0,312.5,29200,44.53065,28.82257,13.61324,9.169492,3.864035,.0590431,15800,15.6005,40.21792,27.14019,12.43472,4.606673,.1793627,16.13389,45.90844,24.75463,9.974994,3.22804,.2399624
"Albertus Magnus College","CT","Bridgeport","Selective private",0,65.66666667,68600,12.97352,16.37367,24.20559,23.97548,22.47173,.3582891,43400,10.72124,11.51002,17.58469,29.04293,31.14112,.7106876,12.29156,4.388064,15.4304,25.33811,42.55187,.0294145
"Albion College","MI","Kalamazoo","Selective private",0,398,120700,2.265231,6.914248,13.48839,23.83263,53.49952,2.927522,48900,8.019707,8.319308,16.12107,28.65095,38.88897,3.088489,14.40876,5.908859,29.08856,20.51659,30.07722,.5123456
"Albright College","PA","Reading","Selective private",0,314,89000,5.143402,12.67895,20.36522,29.41835,32.39408,1.326792,47300,8.353088,8.46083,15.38455,30.07781,37.72371,1.750938,6.603288,14.41831,19.92879,32.40227,26.64734,.0827076
"Alderson Broaddus University","WV","Elkins","Selective private",0,126,59500,12.74958,23.4915,28.00356,23.76539,11.98997,.0308738,37800,12.14559,12.30947,22.24657,26.21905,27.07932,.365703,16.81885,15.78971,24.68899,21.2384,21.46406,.1407506
"Alfred University","NY","Olean","Selective private",0,454.6666667,90800,6.533089,12.03555,19.15695,26.58118,35.69324,1.899572,44600,9.196551,11.00795,17.27827,25.592,36.92524,1.550713,21.16751,11.03892,19.67612,25.50803,22.60942,.0776088
"Allan Hancock College","CA","Santa Barbara","Two-year (public and private not-for-profit)",0,1220,65700,14.08916,18.90599,23.49644,25.68789,17.82054,.467001,30800,16.65839,19.73056,22.28774,22.62495,18.69838,.2287015,19.30626,18.7724,23.68748,24.41887,13.81499,.0408901
"Allegany College Of Maryland","MD","Cumberland","Two-year (public and private not-for-profit)",0,562.5,57900,15.65739,22.41062,29.16914,22.85528,9.907551,.135686,32400,14.50893,18.55906,26.34203,24.56086,16.02912,.1960276,18.99292,19.67178,28.42201,20.36571,12.54756,.0526829
"Allegheny College","PA","Erie","Selective private",0,434.5,102800,3.738123,7.884868,16.65498,28.8313,42.89072,2.648372,52500,8.109818,8.523696,12.40721,25.72074,45.23853,2.097158,16.57134,3.546824,21.82598,22.11683,35.93904,5.965266
"Allen County Community College","KS","Ottawa","Two-year (public and private not-for-profit)",0,420.6666667,65000,10.63246,19.79179,28.2032,26.90561,14.46694,.2191362,29700,11.58067,19.91302,28.12568,26.85267,13.52797,.1653641,15.65645,25.44668,30.77354,17.76583,10.35749,.0138752
"Alma College","MI","Mount Pleasant","Selective private",0,266.5,98200,5.011799,9.535213,17.64055,28.01888,39.79357,1.661784,48000,7.772192,12.99817,14.4776,31.0187,33.73335,1.799052,4.301578,34.43565,11.40313,26.59633,23.26331,.1629113
"Alpena Community College","MI","Alpena","Two-year (public and private not-for-profit)",0,298.5,60600,15.90367,19.23676,28.6504,23.48613,12.72305,.2238735,32500,12.93524,17.63086,24.5169,23.94651,20.9705,.1540854,17.8513,16.4753,35.85593,20.21169,9.605767,.0463772
"Altamaha Technical College","GA","Hinesville","Two-year (public and private not-for-profit)",0,122,35700,37.03231,25.20886,22.06832,11.03714,4.653378,.0505221,14500,21.95265,34.31388,19.29208,16.43587,8.005513,.0501098,22.12248,37.67947,17.17027,16.87325,6.154522,.0217575
"Alvernia University","PA","Reading","Selective private",0,210.3333333,84300,6.648595,14.1291,21.61648,31.23413,26.3717,.8258023,41800,8.808213,11.18403,18.39319,32.33401,29.28056,.6407297,9.4778,7.697963,18.80988,31.14694,32.86742,2.309609
"Alverno College","WI","Milwaukee","Selective private",0,161,65600,15.03328,19.73408,22.08154,27.44948,15.70163,.5124783,33200,8.556739,18.96736,26.25198,27.54467,18.67924,.3934006,10.60404,20.95145,31.99701,18.74821,17.69928,1.415136
"Alvin Community College","TX","Pearland","Two-year (public and private not-for-profit)",0,675.3333333,84500,9.23034,13.8396,18.68727,29.41216,28.83064,.274019,36600,14.28855,16.36407,18.06601,24.18386,27.09752,.4575811,19.08957,17.41455,23.12187,21.15963,19.21438,0
"Amarillo College","TX","Amarillo","Two-year (public and private not-for-profit)",0,1471.666667,58500,16.2419,22.50261,22.98314,24.2522,14.02015,.3010451,31000,13.86321,18.8611,23.87846,24.24153,19.1557,.3564247,19.2701,24.24626,24.41882,20.04494,12.01988,.2750502
"American Career College of Los Angeles, CA","CA","Los Angeles","Two-year for-profit",0,489.5,30400,41.46143,28.46237,15.96895,9.054707,5.052542,.3104616,25700,15.79405,25.71208,25.7203,23.81699,8.956574,.1269127,15.58562,26.9425,29.61189,23.09787,4.762117,.0125975
"American Institute Of Business","IA","Des Moines","Nonselective four-year private not-for-profit",0,257,66000,8.101632,19.41523,29.1712,30.7128,12.59914,.3122959,38700,6.035732,13.4773,26.40236,34.34825,19.73635,.4757019,2.852201,26.02634,27.97915,25.43523,17.70708,.0799896
"American Intercontinental University","IL","Chicago","Four-year for-profit",0,1596.166667,44700,26.03329,25.84768,22.2583,16.05297,9.807745,.4889943,22100,18.85522,25.13534,23.67956,19.09729,13.23257,.2801711,18.66018,28.26397,26.06143,16.88707,10.12735,.2756986
"American International College","MA","Springfield","Selective private",0,172.3333333,68700,14.55442,19.95191,18.89404,25.59781,21.00182,.5896935,41900,9.445701,13.86979,18.18427,28.02739,30.47285,.0073012,14.43104,17.29299,20.32787,29.46824,18.47986,0
"American Musical & Dramatic Academy","NY","New York","Nonselective four-year private not-for-profit",0,270.5,88800,6.849435,13.46378,18.84389,26.43132,34.41159,1.090493,26000,13.21405,24.83055,27.4593,19.15875,15.33736,.6080536,12.24512,16.65056,47.94552,12.90067,10.25813,.1176759
"American National University","VA","Roanoke","Four-year for-profit",0,377.6666667,38300,29.30591,29.59623,25.85285,11.07722,4.167785,.067595,17800,19.65168,30.85268,34.0733,12.50027,2.922064,0,21.0185,33.25196,33.0219,9.400511,3.307122,0
"American University","DC","Washington DC","Highly selective private",0,1103,135700,3.530911,6.607138,10.89094,17.67956,61.29146,8.789345,59100,10.90525,8.869144,7.96182,18.90014,53.36364,3.753475,22.33859,12.8541,10.60886,17.8219,36.37655,5.247985
"Amherst College","MA","Springfield","Other elite schools (public and private)",0,389.6666667,181300,4.221596,5.998836,9.462127,9.715147,70.60229,16.81245,69300,7.992343,8.340065,8.169233,16.08569,59.41267,14.26657,20.10996,4.138235,13.19502,16.08897,46.46781,6.378393
"Ancilla Domini College","IN","South Bend","Two-year (public and private not-for-profit)",0,127,61300,10.46238,20.4549,28.30889,27.07519,13.69866,.0728676,28900,13.87235,20.32121,27.34056,24.49497,13.97093,.2471733,25.80041,25.89872,23.11729,19.01454,6.16904,0
"Anderson University of Anderson, IN","IN","Muncie","Selective private",0,448.6666667,88400,5.271863,9.819026,21.16511,30.20418,33.53981,1.587898,34900,13.65754,16.15878,19.85898,27.98399,22.3407,.5822205,21.7305,22.5209,20.18472,22.02848,13.53539,0
"Anderson University of Anderson, SC","SC","Greenville","Nonselective four-year private not-for-profit",0,216,75900,8.536147,14.38431,23.65457,31.47093,21.95404,.4523107,32600,13.179,14.5936,27.92836,31.99831,12.30074,.6461776,10.72069,7.695043,35.99444,31.56895,14.02087,1.760656
"Andrews University","MI","South Bend","Selective private",0,262.6666667,73900,9.342497,17.07433,23.24767,26.15271,24.18281,1.723202,37200,14.08393,16.55631,16.45969,23.3118,29.58829,2.690316,20.46033,15.05903,14.41679,24.32584,25.73801,.1234747
"Angelina College","TX","Huntsville","Two-year (public and private not-for-profit)",0,871.6666667,45900,26.21167,24.92399,22.26377,16.98445,9.616128,.0735613,25100,16.76922,23.13733,25.27224,20.22943,14.59179,.4147791,20.86723,29.98472,26.7021,13.6631,8.782845,.5860689
"Angelo State University","TX","San Angelo","Selective public",0,1090,68400,11.66612,17.98109,25.13321,27.26551,17.95407,.3909629,38500,11.00186,13.33166,20.15319,28.17569,27.3376,.89533,15.07829,14.21477,24.56347,28.06127,18.08221,.0233669
"Anna Maria College","MA","Boston","Selective private",0,122,90400,5.008061,12.0863,18.4768,30.32693,34.10192,1.177271,40700,7.599738,11.54854,20.18693,31.86263,28.80217,.5337974,5.288496,6.298684,25.69194,28.86754,33.85334,0
"Anne Arundel Community College","MD","Baltimore","Two-year (public and private not-for-profit)",0,2218.666667,91100,6.296922,11.77185,18.34423,28.18532,35.40169,.665812,36000,14.638,15.01131,19.14383,24.88054,26.32632,.3143344,17.84985,19.47773,21.83118,21.2236,19.61764,.2387682
"Antelope Valley College","CA","Los Angeles","Two-year (public and private not-for-profit)",0,1904.666667,66600,16.40186,17.47461,21.98683,26.28038,17.85632,.1597043,25700,19.71718,22.37238,19.4165,19.06338,19.43055,.2196674,25.67303,29.43656,18.99283,14.14256,11.75501,.0257226
"Anthem College And The Bryman School Of Arizona","AZ","Phoenix","Four-year for-profit",0,2343.5,41100,26.99073,29.60939,21.19022,15.71403,6.495646,.0707128,23100,15.57348,26.15811,29.17565,20.38611,8.706678,.1427393,15.97285,30.6964,29.45859,18.99907,4.873094,.0044787
"Anthem Institute","NJ","Newark","Less than two-year schools of any type",0,701.6666667,56900,18.89833,22.52045,19.6359,20.6406,18.30474,.3773418,32200,16.39536,18.06901,19.06168,22.33026,24.14371,.7578391,19.21914,23.55631,23.108,17.51606,16.60049,.7600317
"Antonelli College","MS","Jackson","Two-year for-profit",0,169.6666667,37200,32.66779,23.90182,16.7437,16.68131,10.00539,.1722373,19300,17.19768,31.72326,32.00027,13.8497,5.229112,.0073254,14.80575,37.95782,37.11015,6.514872,3.611416,0
"Appalachian State University","NC","Boone","Selective public",0,2427.333333,105900,3.545235,8.075008,15.51023,26.79571,46.07381,2.216575,39100,9.6532,12.47515,20.69551,30.18974,26.98639,.9042296,12.58376,17.38805,25.5311,29.26402,15.23307,.7142907
"Aquinas College","MI","Grand Rapids","Selective private",0,291.3333333,94800,3.402731,6.932431,19.14172,33.32327,37.19986,2.471977,39300,10.25837,11.50253,20.95356,31.97261,25.31294,.6948453,14.97453,16.41643,38.3809,13.06517,17.16297,0
"Arapahoe Community College","CO","Denver","Two-year (public and private not-for-profit)",0,1073,93800,5.728837,10.76502,18.1255,28.72293,36.65771,.9429826,31700,15.40693,18.41701,21.15978,24.68744,20.32884,.3360519,16.47453,26.77186,20.98958,19.25167,16.51236,.0879755
"Arcadia University","PA","Philadelphia","Selective private",0,309,92200,5.786166,11.23388,17.44889,28.67807,36.853,2.883395,44900,9.991691,10.79754,14.97301,25.34793,38.88982,2.189029,15.24598,5.569446,17.96572,27.86234,33.35651,3.733346
"Argosy University","CA","Los Angeles","Four-year for-profit",0,119,84000,6.644259,12.11654,20.72175,35.63576,24.88169,.6543763,29700,11.37512,18.08771,32.59254,27.42,10.52464,.0309815,10.72526,23.90479,30.53979,33.5434,1.286755,.0226745
"Arizona State And Northern Arizona University And University Of Arizona","AZ","Phoenix","Selective public",0,12056,110700,4.929848,9.132288,14.33616,21.80474,49.79697,4.020827,46300,11.45662,10.9318,14.00648,23.39892,40.20618,2.79324,12.32298,13.75956,16.73311,25.17537,32.00898,1.28563
"Arizona Western College","AZ","Yuma","Two-year (public and private not-for-profit)",0,765.6666667,38600,27.47918,30.69861,19.87032,13.22126,8.730644,.0995572,28000,14.29549,19.94866,27.94159,23.0035,14.81077,.1568338,14.75187,24.24698,31.65441,20.43171,8.915024,.0112589
"Arkansas Northeastern College","AR","Blytheville","Two-year (public and private not-for-profit)",0,304.6666667,37100,30.77692,26.73482,20.59538,14.77963,7.113241,.2055441,23400,15.73742,24.63625,30.0387,19.51181,10.07582,0,18.18329,32.18019,28.30512,15.5021,5.829286,0
"Arkansas State University","AR","Jonesboro","Selective public",0,1956.666667,60800,15.92939,21.50832,23.13513,23.4893,15.93788,.3950324,34500,12.10505,15.83962,23.64843,27.50512,20.90179,.8594051,16.06402,20.61471,26.13778,22.38617,14.79732,.4330851
"Arkansas State University - Beebe","AR","Searcy","Two-year (public and private not-for-profit)",0,644.6666667,63100,13.7486,19.96863,27.16128,26.90827,12.21325,.2521695,29500,16.14909,19.00766,24.46965,25.60903,14.76459,.2619985,22.92488,24.7663,21.46599,19.47763,11.3652,.3781302
"Arkansas Tech University","AR","Russellville","Selective public",0,951,63200,13.47539,20.66436,24.56131,24.43834,16.8606,.4111104,35100,11.51599,16.60922,21.94005,28.70288,21.23186,.8687106,13.30336,22.66938,24.46501,23.85083,15.71142,1.020597
"Armstrong Atlantic State University","GA","Savannah","Selective public",0,652.6666667,76000,9.796575,15.2127,22.93486,28.04737,24.0085,.4796087,34600,13.18516,16.96385,21.12004,27.62701,21.10392,.4858752,12.60394,20.66321,17.58994,30.53346,18.60945,0
"Art Center College Of Design","CA","Los Angeles","Nonselective four-year private not-for-profit",0,109.5,84800,14.90886,13.0267,16.52722,14.87582,40.66141,1.90461,42800,20.02339,15.85937,12.16075,15.22534,36.73114,4.422397,30.87749,14.09694,6.801405,17.54648,30.67768,2.053267
"Art Institute Of Colorado","CO","Denver","Four-year for-profit",0,523.6666667,74200,12.62026,19.81816,18.43576,22.65147,26.47432,.9323028,29600,13.82693,21.04044,23.80536,24.51054,16.81671,.4654616,14.13625,25.29688,27.06245,19.98012,13.52429,.7595127
"Art Institute Of Fort Lauderdale","FL","Miami","Four-year for-profit",0,527,55400,19.66053,23.54491,19.64409,17.48733,19.66315,1.025075,25700,18.36043,22.21823,23.60506,21.98165,13.83463,.4426321,17.92948,23.6971,25.59817,20.30021,12.47506,.2530473
"Art Institute Of Houston","TX","Houston","Four-year for-profit",0,401,58000,17.10009,23.13208,18.36262,19.91437,21.49084,.9406599,30300,16.09588,18.40471,22.11107,24.90176,18.48658,.1992154,18.107,18.54528,22.22252,25.2896,15.8356,0
"Art Institute Of New York City","NY","New York","Two-year for-profit",0,245,45900,24.44635,27.27987,20.05875,14.37348,13.84155,.424153,26900,16.27783,22.31178,24.93364,23.11821,13.35853,.5436787,18.96691,22.48571,25.6985,22.18608,10.6628,1.117434
"Art Institute Of Philadelphia","PA","Philadelphia","Four-year for-profit",0,672,68000,12.08127,18.79444,23.38844,22.40762,23.32822,.8052685,27900,16.13826,21.69152,21.27998,22.50897,18.38126,.2345937,20.30045,24.32709,28.4656,14.47315,12.4337,0
"Art Institute Of Phoenix","KY","Louisville","Four-year for-profit",0,214,73600,10.48693,15.11687,23.35229,26.5687,24.47521,.9322408,32300,15.88614,16.49472,22.91808,26.74427,17.95679,.3264882,22.25629,25.22656,23.74799,21.12589,7.64326,1.472209
"Art Institute Of Pittsburgh","PA","Pittsburgh","Four-year for-profit",0,790.6666667,63800,14.4008,20.3776,23.72874,24.06553,17.42734,.4224047,26100,14.95968,21.26175,28.37294,21.90349,13.50214,.3750725,18.63101,22.37277,28.3175,18.73367,11.94504,.3159809
"Art Institute Of Portland","OR","Portland","Four-year for-profit",0,135.3333333,78400,8.95807,12.64406,22.59842,28.03122,27.76823,1.445928,25200,17.68306,23.22529,19.98571,21.29661,17.80932,.2855534,13.63749,18.43048,13.4247,35.57072,18.9366,0
"Art Institute Of Seattle","WA","Seattle","Four-year for-profit",0,562.3333333,78700,10.60483,14.73549,20.80398,25.03323,28.82247,1.15575,29000,16.06003,18.72826,22.91381,24.35563,17.94227,.3964817,16.55862,19.28487,23.68759,21.61996,18.84896,.1445204
"Art Institute Of York - Pennsylvania","PA","Harrisburg","Four-year for-profit",0,194,74500,5.216516,15.88294,26.29218,34.94528,17.66309,.5827655,30800,11.47454,18.48203,30.1107,25.67332,14.25942,.5427253,16.68528,8.384741,39.59256,22.21231,13.12511,.3967089
"Art Institutes International Minnesota","MN","Minneapolis","Four-year for-profit",0,238,77200,8.209071,18.51357,23.52826,27.44571,22.3034,.7624624,33400,9.356461,16.44531,25.70628,30.1797,18.31226,.0740293,19.85894,18.41508,33.2902,20.6649,7.770896,0
"Asbury College","KY","Lexington-Fayette","Selective private",0,265,91700,3.456881,10.00092,20.75938,29.56302,36.2198,1.60138,33800,13.9159,16.37792,21.36766,25.9859,22.35262,1.036758,10.7244,16.43824,15.57604,34.51762,22.7437,0
"Asheville Buncombe Technical Community College","NC","Asheville","Two-year (public and private not-for-profit)",0,744,62200,13.43641,20.64983,26.53069,24.92448,14.4586,.3289616,25000,15.25113,24.45155,27.76387,22.91894,9.61451,.1512274,20.18779,26.31143,31.92948,15.93303,5.638268,.3532551
"Ashland University","OH","Mansfield","Selective private",0,461.3333333,84600,4.884933,11.2073,22.19365,33.27865,28.43547,1.158578,39200,8.936201,12.50746,21.16199,34.58088,22.81346,.6662591,13.41339,4.219163,35.63165,35.19444,11.54136,1.390926
"Asnuntuck Community College","CT","Bridgeport","Two-year (public and private not-for-profit)",0,214.6666667,83300,6.209241,13.52624,20.02809,33.23381,27.0026,.1650136,31500,13.21272,17.99184,26.3719,25.12731,17.29621,.5533009,15.17413,13.19275,40.34433,21.2599,10.02887,.1379305
"Assumption College","MA","Boston","Selective private",0,476.6666667,120100,2.087851,4.746648,11.11099,25.91346,56.14106,2.04196,57500,5.593956,7.040673,9.205246,25.38739,52.77274,2.167441,1.405154,5.105609,10.69515,40.25461,42.53948,.5507562
"Athens Technical College","GA","Winder","Two-year (public and private not-for-profit)",0,600,57200,18.23277,21.85792,23.47398,21.67525,14.76009,.3524217,25300,14.18657,24.32892,26.10896,23.87611,11.49944,.1679223,15.47303,32.33167,29.94525,16.74232,5.507749,.3155138
"Atlanta Metropolitan State College","GA","Atlanta","Nonselective four-year public",0,331.3333333,38900,25.63302,29.41758,21.30885,14.44245,9.198096,.2476552,23800,13.79787,26.1969,29.95334,22.5926,7.459292,.0848215,13.17612,30.02423,31.20862,20.24505,5.345982,.0076025
"Atlanta Technical College","GA","Atlanta","Two-year (public and private not-for-profit)",0,311,32000,35.97002,32.10034,18.62729,9.32062,3.981729,.0590786,18000,17.37613,35.45008,29.37743,12.26574,5.53062,.0833472,17.14264,35.66375,31.64121,11.55117,4.001231,.0217665
"Atlantic Cape Community College","NJ","Philadelphia","Two-year (public and private not-for-profit)",0,937,60000,14.71725,23.10415,21.47257,23.40736,17.29867,.2494485,26500,15.04539,23.2724,24.54919,20.73947,16.39356,.0781307,18.09897,26.76042,24.94654,20.6797,9.514361,0
"Auburn University","AL","Auburn","Selective public",0,3839,123200,3.332119,6.437188,11.81993,21.22383,57.18694,4.853393,47300,11.02295,10.34079,13.16158,24.65331,40.82137,2.85222,12.28589,15.06555,13.95973,26.70246,31.98636,2.649465
"Auburn University Montgomery","AL","Montgomery","Selective public",0,668.3333333,73600,13.52631,16.40953,19.78363,28.16475,22.11579,.4119791,35400,11.38424,13.88511,23.7156,29.89603,21.11902,.3079503,12.53133,21.13891,22.15588,26.13113,18.04275,.7342118
"Augsburg College","MN","Minneapolis","Selective private",0,321,99100,4.024199,8.334416,18.00921,29.01196,40.62021,4.157313,49000,7.760302,10.00578,14.23582,31.85124,36.14685,1.645707,13.46185,3.57673,17.69733,33.13121,32.13288,2.636613
"Augusta Technical College","GA","Aiken","Two-year (public and private not-for-profit)",0,614,46700,26.41194,23.57323,21.55365,19.35902,9.102162,.1260062,22800,16.52954,26.92606,29.78213,18.15176,8.610506,.1708091,15.0624,34.75171,33.36125,13.83,2.994645,.0149652
"Augustana College of Rock Island, IL","IL","Davenport","Highly selective private",0,541.3333333,114300,2.130748,5.462454,13.13865,27.29812,51.97003,2.578003,53700,7.281584,7.286367,12.04948,26.55088,46.8317,3.587267,5.620005,9.094621,11.82852,26.53162,46.92524,2.469153
"Augustana College of Sioux Falls, SD","SD","Sioux Falls","Selective private",0,392,93200,2.798796,10.64767,20.36967,30.48824,35.69562,2.233065,44200,6.615759,12.62747,18.058,29.20926,33.48951,3.137929,10.32668,16.87116,20.15004,36.771,15.88113,.0442977
"Aurora University","IL","Chicago","Selective private",0,185.6666667,87100,7.359022,14.75353,16.72797,31.14321,30.01626,1.035357,43500,8.273884,11.42466,21.186,26.73115,32.38431,.5292535,9.991048,10.46028,39.53191,25.0025,15.01425,.0092673
"Austin College","TX","Sherman","Highly selective private",0,299.3333333,109300,5.76009,8.652993,16.22264,22.64735,46.71693,3.326823,49700,9.677027,8.545274,13.37499,26.82643,41.57628,5.550241,11.06551,11.20573,11.45157,26.71703,39.56017,1.909959
"Austin Community College","TX","Austin","Two-year (public and private not-for-profit)",0,4347.333333,77100,10.69141,16.82953,19.9805,23.63509,28.86348,1.266142,32100,14.88738,17.20138,22.81009,25.59231,19.50883,.6987203,17.17498,19.2471,25.83142,23.64533,14.10117,.1452221
"Austin Peay State University","TN","Clarksville","Selective public",0,1065.666667,66600,11.99872,19.67698,25.37701,27.99079,14.9565,.2674502,33500,13.04891,17.06556,22.99436,28.02183,18.86934,.4476971,16.52958,22.26865,25.98038,23.75795,11.46345,.5277473
"Automotive Training Center","PA","Philadelphia","Two-year for-profit",0,144.3333333,74600,8.744576,16.44814,21.61836,29.8371,23.35182,.1059842,39900,11.64019,10.60226,18.66061,33.39958,25.69736,.152527,15.44506,14.21383,19.21382,35.44017,15.68712,.6816674
"Aveda Institute","MN","Minneapolis","Less than two-year schools of any type",0,162.6666667,83400,8.524545,13.00968,18.96474,29.16057,30.34046,1.084069,21400,17.81311,26.1797,30.66573,18.31758,7.02387,.0645019,28.47769,22.84937,26.89157,14.3788,7.402565,.0395717
"Aveda Institute Covington","LA","New Orleans","Less than two-year schools of any type",0,61,63000,14.94955,20.76523,21.53046,16.92197,25.83279,.1068516,16200,28.53956,31.59331,21.63056,13.08208,5.154492,.031933,40.18709,22.5799,25.1828,11.6187,.4315058,.03699
"Averett University","VA","Greensboro","Selective private",0,126.3333333,65400,8.178963,22.23177,24.82891,23.62744,21.13292,.7408022,35500,9.353967,12.72808,25.23385,31.07817,21.60594,.8147087,10.50578,11.59278,32.46084,38.33476,7.105841,.0546426
"Avila University","MO","Kansas City","Selective private",0,109.5,88200,6.520855,12.50515,19.98895,30.21225,30.77279,1.628437,44800,7.466682,9.957575,19.25084,34.21786,29.10703,1.495201,7.015194,13.96892,35.7155,35.23988,8.060505,.1943306
"Azusa Pacific University","CA","Los Angeles","Selective private",0,647,103700,4.920498,8.908653,16.50121,22.26515,47.4045,3.111719,42100,15.0868,13.42215,14.21344,21.72192,35.55569,1.246282,13.9895,13.90277,19.03939,22.17477,30.89357,.0962789
