name,state,cz,tier,cuny,count,par_median,par_q1,par_q2,par_q3,par_q4,par_q5,par_top1,kid_median,kid_q1,kid_q2,kid_q3,kid_q4,kid_q5,kid_top1,kidq1_if_parq1,kidq2_if_parq1,kidq3_if_parq1,kidq4_if_parq1,kidq5_if_parq1,kidtop1_if_parq1
"Emporia State University","KS","Emporia","Selective public",0,798.3333333,80100,5.732243,12.305,25.55155,34.70409,21.70713,.2374983,37500,8.503132,13.91952,22.20435,34.5919,20.7811,.6004518,12.48767,20.3755,26.35011,28.01941,12.76732,.7879692
"Endicott College","MA","Boston","Selective private",0,288,108400,3.760685,8.101387,15.19329,24.74876,48.19587,3.441332,47500,7.686129,8.799939,16.10494,30.72997,36.67902,1.064608,1.213134,11.37526,27.09927,22.55915,37.75319,.1096154
"Enterprise State Community College","AL","Dothan","Two-year (public and private not-for-profit)",0,289,59300,19.60875,17.39809,28.34411,22.32015,12.32889,.3087621,26500,14.95967,20.32018,26.9092,20.61803,17.19292,.2471269,11.2557,22.20371,34.02692,20.36049,12.15318,.029508
"Erie Community College","NY","Buffalo","Two-year (public and private not-for-profit)",0,2363.666667,72400,12.13439,16.21307,22.91379,29.6548,19.08395,.2857269,30900,12.60775,19.08027,25.06025,25.59376,17.65797,.2563535,17.12447,27.25013,25.91721,19.25765,10.45054,.2219619
"Erskine College","SC","Greenville","Selective private",0,131,94700,5.790105,12.05795,16.07607,34.01508,32.0608,1.867166,37400,14.45092,10.99861,18.22814,33.85553,22.4668,1.7566,6.619539,28.7675,25.72462,36.18109,2.707258,0
"Essex County College","NJ","Newark","Two-year (public and private not-for-profit)",0,972,43000,25.28612,27.40627,21.64853,14.49576,11.16333,.2785548,28400,15.95964,21.07048,22.16721,22.98524,17.81744,.2385436,17.58908,23.77947,22.59052,23.02588,13.01505,.0006871
"Eureka College","IL","Peoria","Selective private",0,96.5,76500,9.473118,14.23893,23.17524,38.21485,14.89786,1.074378,41300,7.720445,9.63518,21.83948,33.72262,27.08228,.9386767,11.09254,20.0278,18.98452,30.60599,19.28916,.3693727
"Evangel University","MO","Springfield","Selective private",0,349,73800,6.709393,15.33352,25.88087,29.34121,22.735,1.202901,33200,14.1871,16.45298,21.33675,26.04783,21.97533,1.140318,17.09207,21.74788,20.60646,26.29151,14.26208,.0699989
"Everest Institute of Miami, FL","FL","Miami","Two-year for-profit",0,206,27700,43.36026,30.52993,13.30282,9.719296,3.087686,.169087,19200,18.40071,29.26672,32.0263,15.18543,5.120838,.0188003,20.50525,29.07573,33.96016,12.55983,3.899038,.008911
"Everett Community College","WA","Seattle","Two-year (public and private not-for-profit)",0,1050.666667,82100,7.834426,12.44838,21.02547,34.17971,24.51202,.2117116,32300,17.29643,17.33724,19.15905,21.98814,24.21914,.2401811,22.37372,20.36859,27.45997,17.27923,12.51848,.0214323
"Evergreen State College","WA","Seattle","Selective public",0,560.6666667,100200,6.618242,9.373834,17.02896,23.87843,43.10054,2.611162,27000,16.80808,23.14019,20.76762,21.64046,17.64365,.3654439,16.68301,33.06854,23.66711,18.80919,7.772145,.0161807
"Fairfield University","CT","Bridgeport","Selective private",0,863,151500,2.495958,4.778397,7.857597,15.42268,69.44537,8.294425,69900,9.152979,5.315567,7.300027,15.16587,63.06555,8.417859,5.315001,10.35168,5.385457,15.7535,63.19436,8.243221
"Fairleigh Dickinson University","NJ","Newark","Selective private",0,780.6666667,87000,9.54465,15.87447,18.06277,20.27504,36.24308,2.616687,48200,11.61429,10.67466,14.23953,21.71865,41.75288,1.534938,13.48935,11.4017,23.29136,16.91508,34.90251,.4313874
"Fashion Institute Of Design & Merchandising","CA","Los Angeles","Four-year for-profit",0,932.5,76300,11.1849,16.7649,20.39458,20.17986,31.47577,2.21841,28200,19.12716,19.17063,17.99497,21.55777,22.14949,.5008871,16.33062,15.31455,24.82778,20.99096,22.5361,.0720829
"Fashion Institute Of Technology","NY","New York","Selective public",0,1208.333333,79800,12.86495,15.81239,17.9535,20.20708,33.16208,1.841401,36700,19.70679,15.92213,13.21369,17.76331,33.39409,1.122363,21.2823,15.77508,15.26506,19.31772,28.35984,.6369494
"Faulkner University","AL","Montgomery","Selective private",0,227.6666667,63500,16.25469,19.52488,23.27743,24.43382,16.50918,.232547,26300,17.31435,21.56857,23.50355,23.84237,13.77117,.4370715,21.81318,24.35924,30.63941,18.76152,4.426637,.0520194
"Fayetteville State University","NC","Fayetteville","Selective public",0,636.3333333,41400,25.2201,28.96086,22.40572,16.78885,6.624471,.1219434,28700,11.6397,21.3794,29.25163,25.42321,12.30606,.15609,11.0353,24.42642,34.27264,20.62222,9.643421,.4001511
"Fayetteville Technical Community College","NC","Fayetteville","Two-year (public and private not-for-profit)",0,1415.333333,51600,21.66733,22.69362,25.75937,20.8228,9.056881,.0427224,24400,17.99851,23.50125,23.64711,22.52076,12.33237,.096708,20.61464,27.31777,23.3542,20.02869,8.684704,.1105187
"Feather River College","CA","Portola","Two-year (public and private not-for-profit)",0,179,66000,17.68251,18.83919,19.55456,25.016,18.90773,.8535996,23400,23.00175,20.2373,21.39134,18.84232,16.52728,.3534463,26.34666,22.76428,21.90213,20.3388,8.648129,.9541962
"Felician College","NJ","Newark","Selective private",0,149.6666667,73300,12.82039,18.70861,18.64665,24.85628,24.96807,.6455635,40400,11.36142,14.10742,15.48656,31.84809,27.19652,.2071617,16.20206,16.88203,19.45537,28.44438,19.01615,0
"Ferris State University","MI","Big Rapids","Selective public",0,1717.333333,82500,9.14694,13.18672,20.32977,29.24995,28.08662,.6496208,42400,9.13553,12.79667,18.73639,26.34904,32.98237,.7822638,13.3527,19.24454,21.36068,27.48716,18.55492,.1995355
"Ferrum College","VA","Roanoke","Selective private",0,213.6666667,71100,11.28283,17.54627,21.81828,25.74054,23.61209,1.126196,37000,8.804211,11.31139,25.00897,30.56869,24.30674,.327359,14.9645,15.11384,25.60686,30.07322,14.24159,.015151
"Finger Lakes Community College - SUNY Office Of Community College","NY","Buffalo","Two-year (public and private not-for-profit)",0,841.3333333,69100,11.26103,16.32132,26.74183,31.61178,14.06404,.313127,29200,12.89383,19.86574,27.23607,25.84143,14.16294,.2310991,17.19637,26.02164,23.93444,21.10508,11.74246,.3153111
"Fisher College","MA","Boston","Nonselective four-year private not-for-profit",0,228.6666667,55800,18.57529,24.60458,21.21816,20.59025,15.01171,.8109947,27800,14.9506,22.74103,24.48164,22.81634,15.01038,.012348,18.96888,28.3223,18.76013,21.29828,12.65041,.0102222
"Fitchburg State University","MA","Boston","Selective public",0,510,89500,5.65413,11.08376,19.68367,31.9019,31.67654,.3999201,45000,7.434016,11.89642,16.43293,30.2091,34.02754,.371107,9.88364,20.94692,13.37821,24.89379,30.89744,.0391145
"Flagler College","FL","Jacksonville","Selective private",0,408,100900,4.765215,8.862485,17.27677,26.33745,42.75808,1.87599,40300,12.28113,13.85152,17.18843,30.54361,26.13531,1.182056,14.63667,12.77295,6.204277,34.62944,31.75666,.1249849
"Flathead Valley Community College","MT","Kalispell","Two-year (public and private not-for-profit)",0,311,55700,16.45527,22.1601,29.41774,21.46098,10.50591,.6102138,26000,15.19141,24.63086,26.59746,20.45457,13.1257,.3227464,20.98439,33.79955,25.38588,8.476889,11.35328,.0091894
"Florence - Darlington Technical College","SC","Florence","Two-year (public and private not-for-profit)",0,776,43900,27.59634,24.04018,21.44183,18.23216,8.689488,.0561752,23700,15.40534,24.87642,28.62319,20.10785,10.98721,.104019,17.51906,32.74476,29.95687,14.45825,5.32107,.0015296
"Florida Agricultural & Mechanical University","FL","Tallahassee","Selective public",0,2142.666667,57000,15.39783,24.43258,22.03296,18.80522,19.33141,.2056451,39300,9.392164,13.89781,20.66699,26.30045,29.74259,.9829872,11.42017,16.13027,24.88554,26.35111,21.21291,.5956547
"Florida Atlantic University","FL","Port St. Lucie","Selective public",0,1658.666667,77100,11.62357,16.96022,19.23808,21.7257,30.45243,1.916687,40500,13.45822,13.25212,15.46284,28.0686,29.75822,1.237403,13.99676,14.56972,17.23906,27.7799,26.41455,1.03266
"Florida College","FL","Tampa","Nonselective four-year private not-for-profit",0,147,85500,5.410006,13.74864,23.38293,28.40041,29.05803,1.19193,30900,22.65363,15.6451,16.7184,18.84718,26.13569,.9603152,22.19018,15.3688,17.2341,26.57928,18.62764,0
"Florida College Of Natural Health","FL","Orlando","Two-year for-profit",0,100,57300,18.32387,19.47404,23.80145,20.2331,18.16752,.5299528,16200,22.68655,30.07643,26.64308,14.93999,5.653927,.0474834,24.41002,33.13696,31.17531,11.27771,0,0
"Florida Gateway College","FL","Lake City","Nonselective four-year public",0,422.3333333,52900,19.43683,23.7541,25.59929,22.01293,9.196852,.2393429,27600,15.787,22.09125,25.75796,22.62011,13.74368,.0487896,18.77991,29.91291,25.74605,17.0071,8.554019,.0412633
"Florida Gulf Coast University","FL","Cape Coral","Selective public",0,405.3333333,78900,8.421345,15.40662,22.03612,26.33231,27.80359,1.112841,39700,10.96243,13.84231,17.04935,30.04667,28.09922,.8847259,12.43277,9.579695,19.26145,36.4289,22.29719,.9771403
"Florida Institute Of Technology","FL","Palm Bay","Selective private",0,327,86300,7.329957,11.9169,20.29326,25.45718,35.00272,1.167631,59600,7.432889,7.314061,11.67313,19.6764,53.90353,2.059079,7.02259,10.28661,11.61877,19.9045,51.16753,4.103864
"Florida International University","FL","Miami","Selective public",0,2864.5,66700,15.01379,19.12068,20.28028,20.14212,25.44314,1.202119,46800,10.64272,11.55702,13.82722,26.12834,37.84471,1.299401,11.4001,13.26432,12.06711,28.46741,34.80107,.7807939
"Florida Memorial University","FL","Miami","Selective private",0,256,33400,31.66273,33.37226,20.56579,10.19755,4.20165,.0505221,29300,11.81747,21.36306,30.23581,27.03109,9.552546,.0342088,9.592297,23.09932,31.73719,27.58249,7.988714,.021903
"Florida Southern College","FL","Lakeland","Selective private",0,404.3333333,85400,7.735744,14.23315,19.97974,25.26286,32.7885,1.656994,38700,10.14499,14.19716,17.94561,30.68074,27.03149,1.619782,10.65839,19.56879,18.21654,27.46367,24.09262,.170453
"Florida State College At Jacksonville","FL","Jacksonville","Nonselective four-year public",0,3479.666667,66600,13.90433,18.69886,22.84136,25.48376,19.07168,.3989434,30100,14.82478,19.09741,24.07456,25.29798,16.70525,.2491237,16.78127,24.32736,26.11986,21.5467,11.22481,.07029
