id,birth_yr,gender,race,schooling,parent_edu,afqt,income,wage
3493,1957,male,"non-black, non-hispanic",12,12,56.788,60000,20.76
3495,1957,male,"non-black, non-hispanic",12,12,36.121,5000,9
3496,1960,female,"non-black, non-hispanic",14,12,63.829,31000,14.9
3497,1964,male,"non-black, non-hispanic",16,9,91.675,100000,35.24
3502,1957,female,hispanic,12,12,43.096,8600,8.26
3506,1961,female,"non-black, non-hispanic",16,12,79.063,40000,12.82
3508,1962,female,"non-black, non-hispanic",12,10,21.706,22000,12.5
3512,1964,female,"non-black, non-hispanic",12,8,19.351,30000,15.6
3513,1961,male,"non-black, non-hispanic",12,11,18.312,40000,16.9
3514,1962,female,"non-black, non-hispanic",12,10,74.184,28000,13
3515,1958,male,"non-black, non-hispanic",12,15,99.396,60000,50
3516,1963,male,"non-black, non-hispanic",12,9,26.619,37000,17.78
3519,1959,female,"non-black, non-hispanic",12,12,5.699,20000,9.8
3520,1961,male,"non-black, non-hispanic",20,10,33.591,73000,33
3521,1963,male,"non-black, non-hispanic",14,9,40.802,25000,15
3522,1963,female,"non-black, non-hispanic",12,7,13.607,15000,7.5
3523,1963,female,"non-black, non-hispanic",12,9,61.807,24328,12.5
3524,1961,female,"non-black, non-hispanic",14,12,27.02,62000,23.84
3527,1960,female,"non-black, non-hispanic",12,12,58.406,5500,2.64
3530,1961,male,"non-black, non-hispanic",12,11,95.493,52000,21.53
3531,1958,female,"non-black, non-hispanic",13,13,65.807,5000,9.61
3532,1959,female,"non-black, non-hispanic",12,12,53.789,16000,11.66
3533,1958,male,"non-black, non-hispanic",14,13,85.393,127000,54.27
3534,1959,male,hispanic,16,14,89.897,130000,41.66
3537,1958,female,"non-black, non-hispanic",12,12,38.672,28532,22
3538,1957,male,black,14,12,67.319,44600,22.1
3539,1963,male,black,10,8,17.587,50000,9.61
3540,1961,male,black,11,11,36.551,36000,15.4
3542,1957,female,black,11,11,12.436,22000,13.93
3545,1963,female,black,14,9,40.382,39701,15.66
3546,1964,female,black,16,8,55.054,109000,32.88
3548,1962,female,black,14,10,23.819,30000,20.67
3549,1962,female,"non-black, non-hispanic",12,10,29.121,12000,9
3550,1960,male,"non-black, non-hispanic",12,11,62.616,62000,19.87
3551,1961,female,"non-black, non-hispanic",16,10,95.741,130000,44.87
3552,1964,female,"non-black, non-hispanic",16,8,83.704,46000,22.59
3553,1962,male,"non-black, non-hispanic",12,11,78.494,30000,7.69
3554,1964,female,"non-black, non-hispanic",10,9,65.232,58000,28.84
3555,1958,female,"non-black, non-hispanic",12,12,30.231,13000,9.5
3556,1960,female,"non-black, non-hispanic",12,12,26.054,16000,13
3558,1963,female,"non-black, non-hispanic",16,10,72.743,140000,30.76
3560,1963,female,"non-black, non-hispanic",12,9,80.612,20000,6.92
3561,1964,male,"non-black, non-hispanic",13,7,4.231,54000,19.55
3563,1960,male,"non-black, non-hispanic",12,11,25.734,37309,16.95
3568,1962,female,"non-black, non-hispanic",12,10,29.205,14000,9.61
3569,1963,male,"non-black, non-hispanic",12,9,19.175,61000,19
3570,1961,male,"non-black, non-hispanic",11,9,4.347,66000,26.44
3571,1963,male,"non-black, non-hispanic",11,8,20.536,29000,14.05
3574,1964,female,"non-black, non-hispanic",14,8,98.092,58000,29.32
3575,1958,male,"non-black, non-hispanic",12,12,28.797,65000,25
3578,1963,male,"non-black, non-hispanic",12,8,17.919,74000,31.62
3579,1957,male,"non-black, non-hispanic",13,12,42.908,65000,19.23
3580,1959,male,"non-black, non-hispanic",12,12,75.229,58000,21.35
3581,1957,male,"non-black, non-hispanic",16,14,55.513,132000,50.76
3582,1961,male,"non-black, non-hispanic",18,11,77.911,370314,61.18
3583,1963,male,"non-black, non-hispanic",19,10,99.022,120000,44.87
3587,1957,male,"non-black, non-hispanic",14,13,76.091,59000,29
3588,1961,male,"non-black, non-hispanic",17,10,71.155,94000,44
3589,1959,male,"non-black, non-hispanic",12,12,51.56,58735,31.37
3590,1959,male,"non-black, non-hispanic",14,12,90.906,55000,22.88
